"Target","Var1","Var2","Var3","RMSE"
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_FacilitiesNearBy.PublicOffice._splitAt4","Size.sqf.",60230.0304687106
"SalePrice","Size.sqf.","SubwayStation_byProxy1","YearBuilt",60231.7998315234
"SalePrice","N_FacilitiesNearBy.Total._cut","Size.sqf.","YrSold_2013",60234.173071172
"SalePrice","Size.sqf.","TimeToSubway_Novs05vsOther","YearBuilt_2005",60249.0624906025
"SalePrice","AptManageType","Size.sqf.","YrSold_2011_2014",60269.1423772318
"SalePrice","Size.sqf.","YrSold","YrSold_2011_2014",60275.8682473113
"SalePrice","N_FacilitiesNearBy.Hospital._0vs12","Size.sqf.","YearBuilt_2005",60291.3930352364
"SalePrice","N_FacilitiesNearBy.Hospital._0vs12","Size.sqf.","YrSold",60331.7882729865
"SalePrice","N_APT","Size.sqf.","YearBuilt",60395.1107173076
"SalePrice","N_FacilitiesNearBy.PublicOffice._gr_stat","Size.sqf.","YearBuilt_2005",60402.6373471939
"SalePrice","N_SchoolNearBy.Elementary._cat","Size.sqf.","YearBuilt",60415.2360330316
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","SubwayStation_byProxy1",60415.5577526724
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_Parkinglot.Ground.","Size.sqf.",60426.0779501857
"SalePrice","N_FacilitiesNearBy.Park._01vs2","Size.sqf.","YearBuilt_2005",60437.4657131627
"SalePrice","N_Parkinglot.Ground.","Size.sqf.","YearBuilt_2005",60438.2055229755
"SalePrice","N_SchoolNearBy.Total.","Size.sqf.","YearBuilt",60457.8774943665
"SalePrice","N_manager_splitAt4","Size.sqf.","YearBuilt",60458.9853847103
"SalePrice","N_SchoolNearBy.Elementary._cat","Size.sqf.","YrSold_2013",60469.9165629402
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.High.","Size.sqf.",60479.5903602208
"SalePrice","Size.sqf.","TimeToBusStop","YearBuilt_2005",60483.0740753434
"SalePrice","N_FacilitiesNearBy.Total.","Size.sqf.","YearBuilt",60493.163698387
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_FacilitiesNearBy.PublicOffice.","Size.sqf.",60511.8320163665
"SalePrice","N_SchoolNearBy.High._0vs12vs345","Size.sqf.","YearBuilt",60516.5214617218
"SalePrice","N_FacilitiesNearBy.PublicOffice.","Size.sqf.","YearBuilt",60527.7225519729
"SalePrice","N_SchoolNearBy.Middle._chr","Size.sqf.","YrSold",60536.7824939489
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.High._0vs12vs345","Size.sqf.",60566.8838075609
